Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,Endocrine System,11.5,1.4,9.1,14.6,83,0.7704,0.601,0.9782,0.0309,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Endocrine System,8.8,0.4,8.1,9.6,610,,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Endocrine System,6.0,1.7,3.1,10.9,14,0.6756,0.3536,1.2472,0.2694,"293,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Endocrine System,15.6,9,3.2,45.4,3,1.7733,0.3644,5.1833,0.4833,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Endocrine System,10.1,2.7,5.5,18,16,1.1481,0.6164,2.0614,0.6920,"170,572",0
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Endocrine System,6.7,1.6,3.9,10.7,23,0.7562,0.4402,1.2292,0.3102,"441,297",0
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Endocrine System,21.4,0.6,20.2,22.6,"1,315",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Endocrine System,16.8,3.4,10.8,24.7,28,0.7846,0.5032,1.1641,0.2575,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Endocrine System,34.2,12.3,14.6,68.2,8,1.6025,0.6817,3.2009,0.2740,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Endocrine System,19.1,3.5,12.8,27.6,31,0.8945,0.5978,1.3009,0.6572,"165,911",0
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Endocrine System,17.4,2.3,13.1,22.7,60,0.813,0.6092,1.0708,0.1536,"402,384",0
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,24.9,1.2,22.6,27.4,428,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,30.7,6.5,19.3,46.1,24,1.233,0.7663,1.8769,0.3923,"115,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,128.6,0,0,0,5.184,0.7431,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,30.0,11.2,12.2,59.3,10,1.204,0.4874,2.4028,0.7273,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,12.6,5.8,3.9,30.4,8,0.5067,0.1573,1.2301,0.1642,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Lymphoma,29.8,2,26,34,228,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Lymphoma,39.9,11.2,21,68.8,14,1.3381,0.6932,2.3562,0.3900,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,277.4,0,0,0,9.3755,0.9965,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Lymphoma,21.0,11.1,5.2,62.5,5,0.7052,0.1728,2.1234,0.7450,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Lymphoma,10.9,5.5,3,45.9,5,0.3666,0.0988,1.5552,0.2623,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Lymphoma,21.0,1.5,18.1,24.1,200,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Lymphoma,22.6,7.3,10.5,41.8,10,1.0765,0.4954,2.0377,0.9193,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,325.2,0,0,0,15.6287,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Lymphoma,34.8,17,9.9,81.7,5,1.662,0.4658,3.9601,0.4373,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Lymphoma,13.9,10.1,1.5,46.4,3,0.6608,0.0709,2.2389,0.6501,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,25.2,1.2,22.9,27.6,462,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,22.3,5.3,13.1,35.1,20,0.8852,0.5156,1.4096,0.6844,"143,423",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,104.5,0,0,0,4.169,0.6857,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,13.1,5.1,5.1,27.8,8,0.5194,0.2024,1.1129,0.1059,"83,752",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,14.8,6.4,5.1,32.1,9,0.5895,0.1999,1.2859,0.2176,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Lymphoma,30.5,2,26.7,34.6,248,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Lymphoma,34.1,10.1,17.3,60.2,14,1.121,0.5593,2.0136,0.7924,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,233.8,0,0,0,7.7291,1.0000,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Lymphoma,18.6,8,6.4,49.3,6,0.6119,0.2082,1.6391,0.4694,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Lymphoma,9.9,4.4,3.3,30.7,6,0.3236,0.1059,1.0192,0.0558,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Lymphoma,21.4,1.5,18.6,24.6,214,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Lymphoma,13.2,5.5,4.7,28.3,6,0.6139,0.2174,1.3421,0.2772,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,203.8,0,0,0,9.5864,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Lymphoma,7.4,6,0.6,29.1,2,0.3473,0.0265,1.3757,0.1823,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Lymphoma,19.9,12.5,3.4,54.9,3,0.9285,0.1553,2.5944,0.9387,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,22.7,1.1,20.6,24.9,463,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,27.4,5.7,17.4,40.7,30,1.2055,0.7577,1.8159,0.4369,"171,274",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,18.8,18.8,0.5,211.5,1,0.8267,0.0209,9.3508,1.0000,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,21.8,7.4,9.7,40.6,12,0.9592,0.4252,1.8034,0.9752,"111,119",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,35.7,10.3,18.4,60.1,22,1.5713,0.8055,2.673,0.1810,"198,954",0
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Lymphoma,28.8,1.8,25.3,32.6,266,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Lymphoma,25.1,6.8,13.6,43.8,16,0.8731,0.4658,1.5495,0.7920,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Lymphoma,38.4,38.4,1,415.1,1,1.3354,0.0337,14.5336,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Lymphoma,43.2,17.7,15.8,89,9,1.5004,0.543,3.1351,0.4390,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Lymphoma,27.8,12.4,9,60.8,10,0.9651,0.3101,2.141,0.9923,"103,300",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Lymphoma,18.0,1.3,15.5,20.8,197,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Lymphoma,27.2,8.1,13.7,47.2,14,1.5102,0.75,2.6841,0.2463,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,555.7,0,0,0,31.1062,1.0000,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Lymphoma,6.9,4,1.4,22,3,0.3822,0.0756,1.2415,0.1463,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Lymphoma,44.4,16.9,17.8,86.1,12,2.4695,0.9744,4.8805,0.0563,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,24.9,1.1,22.8,27.1,555,,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,25.5,5.9,15.3,39.3,27,1.0266,0.6115,1.5984,0.9765,"199,321",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,158.8,158.8,4,802.1,1,6.3883,0.1614,32.3829,0.2903,"4,957",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,23.1,6.9,11.6,40.1,14,0.9298,0.4628,1.6276,0.8703,"132,262",0
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lymphoma,26.6,6.5,15.5,41.9,28,1.0701,0.6172,1.7032,0.8534,"240,639",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Lymphoma,27.5,1.7,24.3,31,283,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Lymphoma,35.4,11.4,16.7,64.1,16,1.2863,0.5997,2.3678,0.5334,"102,863",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Lymphoma,0.0,,0,612.5,0,0,0,22.4059,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Lymphoma,15.3,7.9,3.9,39.1,5,0.5574,0.1424,1.4392,0.2911,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Lymphoma,36.4,11.5,17.4,64.8,18,1.3229,0.6245,2.3941,0.4750,"124,784",0
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Lymphoma,22.6,1.4,19.9,25.5,272,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Lymphoma,17.6,6,7.9,33.2,11,0.7809,0.3466,1.4963,0.5465,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Lymphoma,337.5,337.5,8.5,"1,342.50",1,14.9606,0.3771,59.9829,0.1299,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Lymphoma,29.4,10.8,12.2,56.9,9,1.3042,0.5364,2.5576,0.5794,"65,922",0
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Lymphoma,17.0,6.3,7,34.5,10,0.7536,0.3067,1.5498,0.5450,"115,855",0
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Lymphoma,24.6,0.4,23.8,25.5,"3,520",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Lymphoma,22.6,4.2,15.1,32.3,34,0.9183,0.6122,1.3137,0.6967,"297,762",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Lymphoma,43.1,18.9,14.4,93,7,1.7478,0.5839,3.7812,0.3112,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Lymphoma,21.0,5.5,11.7,35.2,19,0.8539,0.4726,1.4324,0.6476,"172,165",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Lymphoma,15.9,3.5,9.7,24.1,32,0.644,0.3931,0.9816,0.0398,"463,782",1
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Lymphoma,28.8,0.7,27.5,30.2,"1,847",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Lymphoma,30.7,7.5,17.8,48.8,22,1.0644,0.6154,1.6978,0.8665,"158,622",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Lymphoma,58.1,32.2,13,160.4,4,2.0136,0.451,5.5672,0.3505,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Lymphoma,27.4,10.9,10.4,57.8,10,0.9513,0.3615,2.0076,1.0000,"85,399",0
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Lymphoma,13.6,4.4,6.4,25,17,0.4703,0.2215,0.8701,0.0124,"248,052",1
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Lymphoma,21.2,0.5,20.2,22.3,"1,673",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Lymphoma,15.0,4.6,7.4,26.5,12,0.7063,0.3499,1.2512,0.2750,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Lymphoma,24.2,15.1,4.1,75.1,3,1.1389,0.1949,3.5397,1.0000,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Lymphoma,17.0,6.1,7.3,35.6,9,0.8025,0.3443,1.6818,0.7209,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Lymphoma,17.0,5.3,8.3,30,15,0.8005,0.3891,1.416,0.5023,"215,730",0
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,Lymphoma,26.1,0.4,25.2,26.9,"3,859",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,Lymphoma,17.3,3,11.8,24.2,40,0.6621,0.4539,0.9317,0.0157,"369,675",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,Lymphoma,20.1,9.6,5.9,48.8,5,0.7704,0.2271,1.8752,0.7249,"43,241",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Not Polk,Lymphoma,21.4,4.9,12.9,33.3,24,0.8209,0.4945,1.28,0.4422,"214,229",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,Not Polk,Not Polk,Lymphoma,12.0,2.4,7.8,17.7,36,0.4623,0.2971,0.6815,0.0000,"597,466",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,Lymphoma,31.4,0.7,30,32.8,"2,098",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,Lymphoma,17.9,4.4,10.4,29.1,21,0.5716,0.3299,0.9318,0.0216,"197,713",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,Lymphoma,15.3,11.3,1.6,69.5,2,0.4884,0.0513,2.2179,0.5607,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,Lymphoma,31.6,9.2,16.3,55.8,16,1.0077,0.518,1.7826,1.0000,"106,882",0
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,Lymphoma,18.0,5,9.5,30.2,23,0.5729,0.3028,0.9636,0.0341,"315,744",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Lymphoma,21.7,0.5,20.6,22.8,"1,761",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Lymphoma,16.3,4,9.4,26.2,19,0.7528,0.4346,1.2113,0.2828,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Lymphoma,24.8,15.5,4.3,73.3,3,1.1439,0.1963,3.3882,1.0000,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Lymphoma,13.9,5.4,5.4,28.8,8,0.6412,0.2497,1.3299,0.2868,"107,347",0
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Lymphoma,7.8,2.4,3.8,14.2,13,0.36,0.1751,0.6571,0.0002,"281,722",1
Non-Hispanic White,White,2013-2017,Male and Female,Not Polk,Not Polk,Lymphoma,25.1,0.4,24.3,25.9,"3,810",,,,,"11,826,215",
Non-Hispanic Black,Black,2013-2017,Male and Female,Not Polk,Not Polk,Lymphoma,17.0,2.5,12.5,22.7,55,0.6784,0.4968,0.9066,0.0069,"454,551",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Not Polk,Lymphoma,18.9,8.2,6.4,42.1,7,0.752,0.256,1.6779,0.6204,"45,872",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Not Polk,Lymphoma,13.0,3.2,7.5,20.8,24,0.5184,0.2977,0.8309,0.0041,"291,193",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,Not Polk,Not Polk,Lymphoma,14.5,2.3,10.3,19.6,57,0.5771,0.4115,0.7834,0.0002,"720,568",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,Lymphoma,30.0,0.7,28.7,31.3,"2,116",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,Lymphoma,23.2,4.3,15.5,33.6,37,0.7741,0.5158,1.1246,0.2024,"244,333",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,Lymphoma,22.4,16,2.6,73,3,0.7474,0.0874,2.4387,0.7903,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,Lymphoma,11.3,4.3,4.6,23.5,11,0.3775,0.1523,0.7843,0.0050,"147,414",1
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,Lymphoma,20.6,4.2,13.2,30.3,39,0.6865,0.4392,1.0129,0.0589,"377,294",0
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Lymphoma,21.0,0.5,20,22.1,"1,694",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Lymphoma,11.0,2.7,6.3,17.9,18,0.5213,0.2977,0.8542,0.0065,"210,218",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Lymphoma,17.8,9.1,4.7,48.4,4,0.8472,0.2235,2.3084,1.0000,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Lymphoma,14.0,4.5,6.6,25.4,13,0.6644,0.3132,1.2137,0.2147,"143,779",0
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Lymphoma,8.9,2.3,4.9,14.6,18,0.422,0.234,0.698,0.0002,"343,274",1
Non-Hispanic White,White,2018-2022,Male and Female,Not Polk,Not Polk,Lymphoma,24.4,0.4,23.6,25.2,"3,906",,,,,"11,700,594",
Non-Hispanic Black,Black,2018-2022,Male and Female,Not Polk,Not Polk,Lymphoma,17.6,2.5,13,23.1,60,0.7202,0.5335,0.9498,0.0183,"546,906",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Not Polk,Lymphoma,16.8,6.2,6.9,34.3,8,0.6876,0.2811,1.4059,0.3986,"49,345",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Not Polk,Lymphoma,12.4,2.6,8,18.5,29,0.5102,0.3255,0.7587,0.0004,"336,483",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,Lymphoma,15.6,2,12,20,76,0.64,0.4895,0.8202,0.0002,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Lymphoma,29.5,0.7,28.3,30.8,"2,195",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Lymphoma,19.0,3.5,12.9,27.3,38,0.6449,0.4351,0.9288,0.0157,"293,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Lymphoma,29.1,12.5,10,65.3,6,0.9861,0.3378,2.2154,1.0000,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Lymphoma,13.8,4.3,6.8,24.9,15,0.4675,0.2288,0.8439,0.0081,"170,572",1
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Lymphoma,15.5,2.7,10.6,21.8,40,0.5242,0.357,0.7414,0.0001,"441,297",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Lymphoma,20.0,0.5,19,21.1,"1,711",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Lymphoma,15.4,3.5,9.3,23.7,22,0.7689,0.4649,1.1858,0.2643,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Lymphoma,6.5,4.6,0.8,26.8,2,0.3256,0.0394,1.3414,0.1859,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Lymphoma,11.4,3.2,6,19.6,14,0.5709,0.2997,0.9811,0.0412,"165,911",1
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Lymphoma,15.4,2.8,10.4,21.8,36,0.7681,0.5184,1.091,0.1522,"402,384",0
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Leukemia,13.8,0.9,12.1,15.7,234,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Leukemia,7.3,3.1,2.6,16,6,0.5254,0.1835,1.1772,0.1419,"115,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Leukemia,0.0,,0,128.6,0,0,0,9.3629,1.0000,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Leukemia,11.1,5.3,3.2,28.6,5,0.8001,0.2326,2.0971,0.8681,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Leukemia,8.4,3.7,2.9,22.1,8,0.6091,0.2043,1.6203,0.4696,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Leukemia,18.3,1.6,15.2,21.8,131,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Leukemia,6.5,4,1.2,22.5,3,0.3577,0.0649,1.2564,0.1457,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Leukemia,0.0,,0,277.4,0,0,0,15.3506,1.0000,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Leukemia,4.1,4.1,0.1,38,1,0.2225,0.0056,2.1067,0.3528,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Leukemia,9.7,6.4,1.5,46.5,3,0.5326,0.0793,2.5833,0.6576,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Leukemia,10.6,1.1,8.6,12.9,103,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Leukemia,7.7,4.5,1.6,21.8,3,0.7305,0.147,2.119,0.7621,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Leukemia,0.0,,0,325.2,0,0,0,31.2485,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Leukemia,16.4,8.8,3.9,46.1,4,1.5555,0.3658,4.4959,0.5737,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Leukemia,7.7,3.8,2.2,27.6,5,0.7323,0.2009,2.6872,1.0000,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Leukemia,17.5,1,15.6,19.5,323,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Leukemia,17.2,5,8.8,29.4,14,0.9833,0.5006,1.7103,1.0000,"143,423",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Leukemia,40.8,40.8,1,193.5,1,2.3371,0.059,11.1645,0.6977,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Leukemia,10.4,6.2,2,28.3,4,0.5955,0.115,1.6338,0.3923,"83,752",0
