Group,Year,Sex,Polk,Site,Cancer,p
American Indian/Alaska Native,2008-2012,Female,Not Polk,Brain and other nervous System,8.50,0.9282
Asian or Pacific Islander,2008-2012,Female,Not Polk,Brain and other nervous System,2.00,0.2423
Hispanic,2008-2012,Female,Not Polk,Brain and other nervous System,1.20,0.0022
White,2013-2017,Male and Female,Not Polk,Brain and other nervous System,7.40,
Black,2013-2017,Male and Female,Not Polk,Brain and other nervous System,5.10,0.1711
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Brain and other nervous System,10.20,0.6102
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Brain and other nervous System,2.30,0.0085
Hispanic,2013-2017,Male and Female,Not Polk,Brain and other nervous System,2.90,0.0006
White,2013-2017,Male,Not Polk,Brain and other nervous System,8.40,
Black,2013-2017,Male,Not Polk,Brain and other nervous System,4.10,0.1149
American Indian/Alaska Native,2013-2017,Male,Not Polk,Brain and other nervous System,9.80,1.0000
Asian or Pacific Islander,2013-2017,Male,Not Polk,Brain and other nervous System,0.00,0.0274
Hispanic,2013-2017,Male,Not Polk,Brain and other nervous System,2.70,0.0113
White,2013-2017,Female,Not Polk,Brain and other nervous System,6.60,
Black,2013-2017,Female,Not Polk,Brain and other nervous System,6.00,0.9721
American Indian/Alaska Native,2013-2017,Female,Not Polk,Brain and other nervous System,10.30,0.6054
Asian or Pacific Islander,2013-2017,Female,Not Polk,Brain and other nervous System,4.30,0.5415
Hispanic,2013-2017,Female,Not Polk,Brain and other nervous System,3.20,0.0704
White,2018-2022,Male and Female,Not Polk,Brain and other nervous System,7.00,
Black,2018-2022,Male and Female,Not Polk,Brain and other nervous System,3.20,0.0065
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Brain and other nervous System,8.20,0.8978
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Brain and other nervous System,4.00,0.1296
Hispanic,2018-2022,Male and Female,Not Polk,Brain and other nervous System,4.30,0.0402
White,2018-2022,Male,Not Polk,Brain and other nervous System,8.50,
Black,2018-2022,Male,Not Polk,Brain and other nervous System,1.80,0.0031
American Indian/Alaska Native,2018-2022,Male,Not Polk,Brain and other nervous System,13.80,0.5678
Asian or Pacific Islander,2018-2022,Male,Not Polk,Brain and other nervous System,5.30,0.4145
Hispanic,2018-2022,Male,Not Polk,Brain and other nervous System,3.90,0.0226
White,2018-2022,Female,Not Polk,Brain and other nervous System,5.70,
Black,2018-2022,Female,Not Polk,Brain and other nervous System,4.70,0.7492
American Indian/Alaska Native,2018-2022,Female,Not Polk,Brain and other nervous System,3.20,1.0000
Asian or Pacific Islander,2018-2022,Female,Not Polk,Brain and other nervous System,2.80,0.2737
Hispanic,2018-2022,Female,Not Polk,Brain and other nervous System,4.60,0.6283
White,2003-2007,Male and Female,Polk County,Endocrine System,11.40,
Black,2003-2007,Male and Female,Polk County,Endocrine System,8.90,0.6531
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Endocrine System,10.70,1.0000
Hispanic,2003-2007,Male and Female,Polk County,Endocrine System,6.40,0.5030
White,2003-2007,Male,Polk County,Endocrine System,6.50,
Black,2003-2007,Male,Polk County,Endocrine System,5.10,1.0000
American Indian/Alaska Native,2003-2007,Male,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2003-2007,Male,Polk County,Endocrine System,4.10,1.0000
Hispanic,2003-2007,Male,Polk County,Endocrine System,1.10,0.6792
White,2003-2007,Female,Polk County,Endocrine System,15.90,
Black,2003-2007,Female,Polk County,Endocrine System,12.50,0.7383
American Indian/Alaska Native,2003-2007,Female,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Endocrine System,16.90,1.0000
Hispanic,2003-2007,Female,Polk County,Endocrine System,12.20,0.8987
White,2008-2012,Male and Female,Polk County,Endocrine System,13.40,
Black,2008-2012,Male and Female,Polk County,Endocrine System,11.20,0.6860
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Endocrine System,2.00,0.0186
Hispanic,2008-2012,Male and Female,Polk County,Endocrine System,6.40,0.1740
White,2008-2012,Male,Polk County,Endocrine System,9.70,
Black,2008-2012,Male,Polk County,Endocrine System,6.70,0.7699
American Indian/Alaska Native,2008-2012,Male,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Endocrine System,0.00,0.3233
Hispanic,2008-2012,Male,Polk County,Endocrine System,0.60,0.2667
White,2008-2012,Female,Polk County,Endocrine System,17.30,
Black,2008-2012,Female,Polk County,Endocrine System,15.30,0.8835
American Indian/Alaska Native,2008-2012,Female,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Endocrine System,4.20,0.1105
Hispanic,2008-2012,Female,Polk County,Endocrine System,12.40,0.6919
White,2013-2017,Male and Female,Polk County,Endocrine System,13.40,
Black,2013-2017,Male and Female,Polk County,Endocrine System,9.00,0.2907
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Endocrine System,13.50,1.0000
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Endocrine System,12.80,1.0000
Hispanic,2013-2017,Male and Female,Polk County,Endocrine System,14.50,0.8933
White,2013-2017,Male,Polk County,Endocrine System,8.20,
Black,2013-2017,Male,Polk County,Endocrine System,3.70,0.4643
American Indian/Alaska Native,2013-2017,Male,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Endocrine System,3.10,0.5943
Hispanic,2013-2017,Male,Polk County,Endocrine System,13.00,0.6963
White,2013-2017,Female,Polk County,Endocrine System,18.60,
Black,2013-2017,Female,Polk County,Endocrine System,13.90,0.5300
American Indian/Alaska Native,2013-2017,Female,Polk County,Endocrine System,24.60,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Endocrine System,21.90,0.7476
Hispanic,2013-2017,Female,Polk County,Endocrine System,17.80,1.0000
White,2018-2022,Male and Female,Polk County,Endocrine System,15.50,
Black,2018-2022,Male and Female,Polk County,Endocrine System,11.10,0.2929
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Endocrine System,23.80,0.9605
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Endocrine System,14.70,0.9938
Hispanic,2018-2022,Male and Female,Polk County,Endocrine System,12.90,0.6345
White,2018-2022,Male,Polk County,Endocrine System,8.80,
Black,2018-2022,Male,Polk County,Endocrine System,5.20,0.6319
American Indian/Alaska Native,2018-2022,Male,Polk County,Endocrine System,60.10,0.2765
Asian or Pacific Islander,2018-2022,Male,Polk County,Endocrine System,2.40,0.3442
Hispanic,2018-2022,Male,Polk County,Endocrine System,6.70,0.8328
White,2018-2022,Female,Polk County,Endocrine System,22.20,
Black,2018-2022,Female,Polk County,Endocrine System,17.10,0.4955
American Indian/Alaska Native,2018-2022,Female,Polk County,Endocrine System,0.00,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Endocrine System,25.00,0.8015
Hispanic,2018-2022,Female,Polk County,Endocrine System,19.70,0.8485
White,2003-2007,Male and Female,Not Polk,Endocrine System,11.00,
Black,2003-2007,Male and Female,Not Polk,Endocrine System,6.40,0.1028
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Endocrine System,6.20,0.7833
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Endocrine System,13.70,0.6454
Hispanic,2003-2007,Male and Female,Not Polk,Endocrine System,5.90,0.0099
White,2003-2007,Male,Not Polk,Endocrine System,6.40,
Black,2003-2007,Male,Not Polk,Endocrine System,6.60,1.0000
American Indian/Alaska Native,2003-2007,Male,Not Polk,Endocrine System,0.00,0.8627
Asian or Pacific Islander,2003-2007,Male,Not Polk,Endocrine System,19.40,0.2745
Hispanic,2003-2007,Male,Not Polk,Endocrine System,3.30,0.3158
White,2003-2007,Female,Not Polk,Endocrine System,15.50,
Black,2003-2007,Female,Not Polk,Endocrine System,6.10,0.0298
American Indian/Alaska Native,2003-2007,Female,Not Polk,Endocrine System,12.30,1.0000
Asian or Pacific Islander,2003-2007,Female,Not Polk,Endocrine System,12.90,0.8819
Hispanic,2003-2007,Female,Not Polk,Endocrine System,9.30,0.0798
White,2008-2012,Male and Female,Not Polk,Endocrine System,14.90,
Black,2008-2012,Male and Female,Not Polk,Endocrine System,9.30,0.0424
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Endocrine System,7.10,0.4474
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Endocrine System,11.80,0.5015
Hispanic,2008-2012,Male and Female,Not Polk,Endocrine System,13.20,0.5608
White,2008-2012,Male,Not Polk,Endocrine System,8.10,
Black,2008-2012,Male,Not Polk,Endocrine System,7.70,1.0000
American Indian/Alaska Native,2008-2012,Male,Not Polk,Endocrine System,5.80,1.0000
Asian or Pacific Islander,2008-2012,Male,Not Polk,Endocrine System,2.60,0.3558
Hispanic,2008-2012,Male,Not Polk,Endocrine System,5.40,0.3598
White,2008-2012,Female,Not Polk,Endocrine System,21.60,
Black,2008-2012,Female,Not Polk,Endocrine System,11.30,0.0199
American Indian/Alaska Native,2008-2012,Female,Not Polk,Endocrine System,8.60,0.4292
Asian or Pacific Islander,2008-2012,Female,Not Polk,Endocrine System,19.80,0.8997
Hispanic,2008-2012,Female,Not Polk,Endocrine System,20.70,0.8959
White,2013-2017,Male and Female,Not Polk,Endocrine System,16.10,
Black,2013-2017,Male and Female,Not Polk,Endocrine System,9.90,0.0091
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Endocrine System,27.80,0.1314
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Endocrine System,10.10,0.0443
Hispanic,2013-2017,Male and Female,Not Polk,Endocrine System,13.60,0.3031
White,2013-2017,Male,Not Polk,Endocrine System,8.90,
Black,2013-2017,Male,Not Polk,Endocrine System,5.70,0.3417
American Indian/Alaska Native,2013-2017,Male,Not Polk,Endocrine System,3.50,0.8708
Asian or Pacific Islander,2013-2017,Male,Not Polk,Endocrine System,10.00,0.8148
Hispanic,2013-2017,Male,Not Polk,Endocrine System,5.50,0.1921
White,2013-2017,Female,Not Polk,Endocrine System,23.30,
Black,2013-2017,Female,Not Polk,Endocrine System,16.00,0.0766
American Indian/Alaska Native,2013-2017,Female,Not Polk,Endocrine System,50.40,0.0453
Asian or Pacific Islander,2013-2017,Female,Not Polk,Endocrine System,10.40,0.0054
Hispanic,2013-2017,Female,Not Polk,Endocrine System,22.60,0.9175
White,2018-2022,Male and Female,Not Polk,Endocrine System,15.00,
Black,2018-2022,Male and Female,Not Polk,Endocrine System,10.90,0.0644
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Endocrine System,25.40,0.1393
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Endocrine System,14.80,1.0000
Hispanic,2018-2022,Male and Female,Not Polk,Endocrine System,11.50,0.0309
White,2018-2022,Male,Not Polk,Endocrine System,8.80,
Black,2018-2022,Male,Not Polk,Endocrine System,6.00,0.2694
American Indian/Alaska Native,2018-2022,Male,Not Polk,Endocrine System,15.60,0.4833
Asian or Pacific Islander,2018-2022,Male,Not Polk,Endocrine System,10.10,0.6920
Hispanic,2018-2022,Male,Not Polk,Endocrine System,6.70,0.3102
White,2018-2022,Female,Not Polk,Endocrine System,21.40,
Black,2018-2022,Female,Not Polk,Endocrine System,16.80,0.2575
American Indian/Alaska Native,2018-2022,Female,Not Polk,Endocrine System,34.20,0.2740
Asian or Pacific Islander,2018-2022,Female,Not Polk,Endocrine System,19.10,0.6572
Hispanic,2018-2022,Female,Not Polk,Endocrine System,17.40,0.1536
White,2003-2007,Male and Female,Polk County,Lymphoma,24.90,
Black,2003-2007,Male and Female,Polk County,Lymphoma,30.70,0.3923
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Lymphoma,0.00,0.7431
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Lymphoma,30.00,0.7273
Hispanic,2003-2007,Male and Female,Polk County,Lymphoma,12.60,0.1642
White,2003-2007,Male,Polk County,Lymphoma,29.80,
Black,2003-2007,Male,Polk County,Lymphoma,39.90,0.3900
American Indian/Alaska Native,2003-2007,Male,Polk County,Lymphoma,0.00,0.9965
Asian or Pacific Islander,2003-2007,Male,Polk County,Lymphoma,21.00,0.7450
Hispanic,2003-2007,Male,Polk County,Lymphoma,10.90,0.2623
White,2003-2007,Female,Polk County,Lymphoma,21.00,
Black,2003-2007,Female,Polk County,Lymphoma,22.60,0.9193
American Indian/Alaska Native,2003-2007,Female,Polk County,Lymphoma,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Lymphoma,34.80,0.4373
Hispanic,2003-2007,Female,Polk County,Lymphoma,13.90,0.6501
White,2008-2012,Male and Female,Polk County,Lymphoma,25.20,
Black,2008-2012,Male and Female,Polk County,Lymphoma,22.30,0.6844
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Lymphoma,0.00,0.6857
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Lymphoma,13.10,0.1059
Hispanic,2008-2012,Male and Female,Polk County,Lymphoma,14.80,0.2176
White,2008-2012,Male,Polk County,Lymphoma,30.50,
Black,2008-2012,Male,Polk County,Lymphoma,34.10,0.7924
American Indian/Alaska Native,2008-2012,Male,Polk County,Lymphoma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Lymphoma,18.60,0.4694
Hispanic,2008-2012,Male,Polk County,Lymphoma,9.90,0.0558
White,2008-2012,Female,Polk County,Lymphoma,21.40,
Black,2008-2012,Female,Polk County,Lymphoma,13.20,0.2772
American Indian/Alaska Native,2008-2012,Female,Polk County,Lymphoma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Lymphoma,7.40,0.1823
Hispanic,2008-2012,Female,Polk County,Lymphoma,19.90,0.9387
White,2013-2017,Male and Female,Polk County,Lymphoma,22.70,
Black,2013-2017,Male and Female,Polk County,Lymphoma,27.40,0.4369
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Lymphoma,18.80,1.0000
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Lymphoma,21.80,0.9752
Hispanic,2013-2017,Male and Female,Polk County,Lymphoma,35.70,0.1810
White,2013-2017,Male,Polk County,Lymphoma,28.80,
Black,2013-2017,Male,Polk County,Lymphoma,25.10,0.7920
American Indian/Alaska Native,2013-2017,Male,Polk County,Lymphoma,38.40,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Lymphoma,43.20,0.4390
Hispanic,2013-2017,Male,Polk County,Lymphoma,27.80,0.9923
White,2013-2017,Female,Polk County,Lymphoma,18.00,
Black,2013-2017,Female,Polk County,Lymphoma,27.20,0.2463
American Indian/Alaska Native,2013-2017,Female,Polk County,Lymphoma,0.00,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Lymphoma,6.90,0.1463
Hispanic,2013-2017,Female,Polk County,Lymphoma,44.40,0.0563
White,2018-2022,Male and Female,Polk County,Lymphoma,24.90,
Black,2018-2022,Male and Female,Polk County,Lymphoma,25.50,0.9765
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Lymphoma,158.80,0.2903
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Lymphoma,23.10,0.8703
Hispanic,2018-2022,Male and Female,Polk County,Lymphoma,26.60,0.8534
White,2018-2022,Male,Polk County,Lymphoma,27.50,
Black,2018-2022,Male,Polk County,Lymphoma,35.40,0.5334
American Indian/Alaska Native,2018-2022,Male,Polk County,Lymphoma,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Lymphoma,15.30,0.2911
Hispanic,2018-2022,Male,Polk County,Lymphoma,36.40,0.4750
White,2018-2022,Female,Polk County,Lymphoma,22.60,
Black,2018-2022,Female,Polk County,Lymphoma,17.60,0.5465
American Indian/Alaska Native,2018-2022,Female,Polk County,Lymphoma,337.50,0.1299
Asian or Pacific Islander,2018-2022,Female,Polk County,Lymphoma,29.40,0.5794
Hispanic,2018-2022,Female,Polk County,Lymphoma,17.00,0.5450
White,2003-2007,Male and Female,Not Polk,Lymphoma,24.60,
Black,2003-2007,Male and Female,Not Polk,Lymphoma,22.60,0.6967
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Lymphoma,43.10,0.3112
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Lymphoma,21.00,0.6476
Hispanic,2003-2007,Male and Female,Not Polk,Lymphoma,15.90,0.0398
White,2003-2007,Male,Not Polk,Lymphoma,28.80,
Black,2003-2007,Male,Not Polk,Lymphoma,30.70,0.8665
American Indian/Alaska Native,2003-2007,Male,Not Polk,Lymphoma,58.10,0.3505
Asian or Pacific Islander,2003-2007,Male,Not Polk,Lymphoma,27.40,1.0000
Hispanic,2003-2007,Male,Not Polk,Lymphoma,13.60,0.0124
White,2003-2007,Female,Not Polk,Lymphoma,21.20,
Black,2003-2007,Female,Not Polk,Lymphoma,15.00,0.2750
American Indian/Alaska Native,2003-2007,Female,Not Polk,Lymphoma,24.20,1.0000
Asian or Pacific Islander,2003-2007,Female,Not Polk,Lymphoma,17.00,0.7209
Hispanic,2003-2007,Female,Not Polk,Lymphoma,17.00,0.5023
White,2008-2012,Male and Female,Not Polk,Lymphoma,26.10,
Black,2008-2012,Male and Female,Not Polk,Lymphoma,17.30,0.0157
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Lymphoma,20.10,0.7249
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Lymphoma,21.40,0.4422
Hispanic,2008-2012,Male and Female,Not Polk,Lymphoma,12.00,0.0000
White,2008-2012,Male,Not Polk,Lymphoma,31.40,
Black,2008-2012,Male,Not Polk,Lymphoma,17.90,0.0216
American Indian/Alaska Native,2008-2012,Male,Not Polk,Lymphoma,15.30,0.5607
Asian or Pacific Islander,2008-2012,Male,Not Polk,Lymphoma,31.60,1.0000
Hispanic,2008-2012,Male,Not Polk,Lymphoma,18.00,0.0341
White,2008-2012,Female,Not Polk,Lymphoma,21.70,
Black,2008-2012,Female,Not Polk,Lymphoma,16.30,0.2828
American Indian/Alaska Native,2008-2012,Female,Not Polk,Lymphoma,24.80,1.0000
Asian or Pacific Islander,2008-2012,Female,Not Polk,Lymphoma,13.90,0.2868
Hispanic,2008-2012,Female,Not Polk,Lymphoma,7.80,0.0002
White,2013-2017,Male and Female,Not Polk,Lymphoma,25.10,
Black,2013-2017,Male and Female,Not Polk,Lymphoma,17.00,0.0069
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Lymphoma,18.90,0.6204
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Lymphoma,13.00,0.0041
Hispanic,2013-2017,Male and Female,Not Polk,Lymphoma,14.50,0.0002
White,2013-2017,Male,Not Polk,Lymphoma,30.00,
Black,2013-2017,Male,Not Polk,Lymphoma,23.20,0.2024
American Indian/Alaska Native,2013-2017,Male,Not Polk,Lymphoma,22.40,0.7903
Asian or Pacific Islander,2013-2017,Male,Not Polk,Lymphoma,11.30,0.0050
Hispanic,2013-2017,Male,Not Polk,Lymphoma,20.60,0.0589
White,2013-2017,Female,Not Polk,Lymphoma,21.00,
Black,2013-2017,Female,Not Polk,Lymphoma,11.00,0.0065
American Indian/Alaska Native,2013-2017,Female,Not Polk,Lymphoma,17.80,1.0000
Asian or Pacific Islander,2013-2017,Female,Not Polk,Lymphoma,14.00,0.2147
Hispanic,2013-2017,Female,Not Polk,Lymphoma,8.90,0.0002
White,2018-2022,Male and Female,Not Polk,Lymphoma,24.40,
Black,2018-2022,Male and Female,Not Polk,Lymphoma,17.60,0.0183
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Lymphoma,16.80,0.3986
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Lymphoma,12.40,0.0004
Hispanic,2018-2022,Male and Female,Not Polk,Lymphoma,15.60,0.0002
White,2018-2022,Male,Not Polk,Lymphoma,29.50,
Black,2018-2022,Male,Not Polk,Lymphoma,19.00,0.0157
American Indian/Alaska Native,2018-2022,Male,Not Polk,Lymphoma,29.10,1.0000
Asian or Pacific Islander,2018-2022,Male,Not Polk,Lymphoma,13.80,0.0081
Hispanic,2018-2022,Male,Not Polk,Lymphoma,15.50,0.0001
White,2018-2022,Female,Not Polk,Lymphoma,20.00,
Black,2018-2022,Female,Not Polk,Lymphoma,15.40,0.2643
American Indian/Alaska Native,2018-2022,Female,Not Polk,Lymphoma,6.50,0.1859
Asian or Pacific Islander,2018-2022,Female,Not Polk,Lymphoma,11.40,0.0412
Hispanic,2018-2022,Female,Not Polk,Lymphoma,15.40,0.1522
White,2003-2007,Male and Female,Polk County,Leukemia,13.80,
Black,2003-2007,Male and Female,Polk County,Leukemia,7.30,0.1419
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Leukemia,0.00,1.0000
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Leukemia,11.10,0.8681
Hispanic,2003-2007,Male and Female,Polk County,Leukemia,8.40,0.4696
White,2003-2007,Male,Polk County,Leukemia,18.30,
Black,2003-2007,Male,Polk County,Leukemia,6.50,0.1457
American Indian/Alaska Native,2003-2007,Male,Polk County,Leukemia,0.00,1.0000
Asian or Pacific Islander,2003-2007,Male,Polk County,Leukemia,4.10,0.3528
Hispanic,2003-2007,Male,Polk County,Leukemia,9.70,0.6576
White,2003-2007,Female,Polk County,Leukemia,10.60,
Black,2003-2007,Female,Polk County,Leukemia,7.70,0.7621
American Indian/Alaska Native,2003-2007,Female,Polk County,Leukemia,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Leukemia,16.40,0.5737
Hispanic,2003-2007,Female,Polk County,Leukemia,7.70,1.0000
White,2008-2012,Male and Female,Polk County,Leukemia,17.50,
Black,2008-2012,Male and Female,Polk County,Leukemia,17.20,1.0000
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Leukemia,40.80,0.6977
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Leukemia,10.40,0.3923
Hispanic,2008-2012,Male and Female,Polk County,Leukemia,12.40,0.4721
White,2008-2012,Male,Polk County,Leukemia,21.50,
Black,2008-2012,Male,Polk County,Leukemia,22.20,1.0000
American Indian/Alaska Native,2008-2012,Male,Polk County,Leukemia,107.10,0.3661
Asian or Pacific Islander,2008-2012,Male,Polk County,Leukemia,11.10,0.4944
Hispanic,2008-2012,Male,Polk County,Leukemia,20.10,1.0000
White,2008-2012,Female,Polk County,Leukemia,14.50,
Black,2008-2012,Female,Polk County,Leukemia,13.80,1.0000
American Indian/Alaska Native,2008-2012,Female,Polk County,Leukemia,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Leukemia,6.30,0.4306
Hispanic,2008-2012,Female,Polk County,Leukemia,5.30,0.2360
White,2013-2017,Male and Female,Polk County,Leukemia,19.50,
Black,2013-2017,Male and Female,Polk County,Leukemia,18.70,0.9578
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Leukemia,42.60,0.4783
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Leukemia,12.00,0.2962
Hispanic,2013-2017,Male and Female,Polk County,Leukemia,5.70,0.0009
White,2013-2017,Male,Polk County,Leukemia,26.70,
Black,2013-2017,Male,Polk County,Leukemia,17.40,0.3441
American Indian/Alaska Native,2013-2017,Male,Polk County,Leukemia,97.50,0.2119
Asian or Pacific Islander,2013-2017,Male,Polk County,Leukemia,17.20,0.5222
Hispanic,2013-2017,Male,Polk County,Leukemia,8.40,0.0210
White,2013-2017,Female,Polk County,Leukemia,13.70,
Black,2013-2017,Female,Polk County,Leukemia,19.60,0.4331
American Indian/Alaska Native,2013-2017,Female,Polk County,Leukemia,0.00,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Leukemia,9.20,0.6674
Hispanic,2013-2017,Female,Polk County,Leukemia,2.90,0.0849
White,2018-2022,Male and Female,Polk County,Leukemia,17.00,
Black,2018-2022,Male and Female,Polk County,Leukemia,24.10,0.1260
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Leukemia,28.50,0.8982
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Leukemia,11.50,0.4021
Hispanic,2018-2022,Male and Female,Polk County,Leukemia,18.50,0.8698
White,2018-2022,Male,Polk County,Leukemia,21.20,
Black,2018-2022,Male,Polk County,Leukemia,34.80,0.1366
American Indian/Alaska Native,2018-2022,Male,Polk County,Leukemia,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Leukemia,14.00,0.5304
Hispanic,2018-2022,Male,Polk County,Leukemia,18.60,0.8272
White,2018-2022,Female,Polk County,Leukemia,13.70,
Black,2018-2022,Female,Polk County,Leukemia,16.60,0.6168
American Indian/Alaska Native,2018-2022,Female,Polk County,Leukemia,46.20,0.5150
Asian or Pacific Islander,2018-2022,Female,Polk County,Leukemia,8.00,0.4945
Hispanic,2018-2022,Female,Polk County,Leukemia,19.00,0.6193
White,2003-2007,Male and Female,Not Polk,Leukemia,16.50,
Black,2003-2007,Male and Female,Not Polk,Leukemia,10.50,0.1122
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Leukemia,12.40,0.8523
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Leukemia,0.80,0.0006
Hispanic,2003-2007,Male and Female,Not Polk,Leukemia,8.60,0.0054
White,2003-2007,Male,Not Polk,Leukemia,21.60,
Black,2003-2007,Male,Not Polk,Leukemia,5.50,0.0048
American Indian/Alaska Native,2003-2007,Male,Not Polk,Leukemia,12.40,0.8564
Asian or Pacific Islander,2003-2007,Male,Not Polk,Leukemia,1.10,0.0233
Hispanic,2003-2007,Male,Not Polk,Leukemia,9.20,0.0097
White,2003-2007,Female,Not Polk,Leukemia,12.70,
Black,2003-2007,Female,Not Polk,Leukemia,13.00,1.0000
American Indian/Alaska Native,2003-2007,Female,Not Polk,Leukemia,12.70,1.0000
Asian or Pacific Islander,2003-2007,Female,Not Polk,Leukemia,0.60,0.0598
Hispanic,2003-2007,Female,Not Polk,Leukemia,8.10,0.2493
White,2008-2012,Male and Female,Not Polk,Leukemia,16.60,
Black,2008-2012,Male and Female,Not Polk,Leukemia,10.90,0.0786
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Leukemia,21.30,0.7455
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Leukemia,5.20,0.0059
Hispanic,2008-2012,Male and Female,Not Polk,Leukemia,10.20,0.0385
White,2008-2012,Male,Not Polk,Leukemia,21.10,
Black,2008-2012,Male,Not Polk,Leukemia,13.60,0.1920
American Indian/Alaska Native,2008-2012,Male,Not Polk,Leukemia,32.70,0.6736
Asian or Pacific Islander,2008-2012,Male,Not Polk,Leukemia,8.10,0.1491
Hispanic,2008-2012,Male,Not Polk,Leukemia,11.20,0.0523
White,2008-2012,Female,Not Polk,Leukemia,13.00,
Black,2008-2012,Female,Not Polk,Leukemia,8.30,0.2523
American Indian/Alaska Native,2008-2012,Female,Not Polk,Leukemia,12.70,1.0000
Asian or Pacific Islander,2008-2012,Female,Not Polk,Leukemia,3.50,0.0400
Hispanic,2008-2012,Female,Not Polk,Leukemia,9.20,0.3590
White,2013-2017,Male and Female,Not Polk,Leukemia,17.60,
Black,2013-2017,Male and Female,Not Polk,Leukemia,14.40,0.3261
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Leukemia,10.20,0.3846
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Leukemia,8.70,0.0211
Hispanic,2013-2017,Male and Female,Not Polk,Leukemia,11.00,0.0038
White,2013-2017,Male,Not Polk,Leukemia,23.00,
Black,2013-2017,Male,Not Polk,Leukemia,21.80,0.8779
